Sample	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	pH	conc_NaCl	g_L_lactic_acid
O271	C68	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.745	77.93274975	3.73014
O272	C29	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Alkali treated olives	Alkali treated olives	Putrid	None	485	365 < days ≤ 850	NA	NA	NA
O273	C71	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.808	51.72494053	5.401495
O274	C27	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Alkali treated olives	Alkali treated olives	Putrid	None	485	365 < days ≤ 850	NA	NA	NA
O275	C15	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.697	97.09122933	1.36051
O276	C24I	Amfissa nere	Amfissa nere	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.527	84.18990123	10.82101
O277	C16I	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	4.285	103.9561052	15.6774
O278	C16III	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	4.282	101.8169305	22.86738
O279	C24III	Amfissa nere	Amfissa nere	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.562	115.6884494	13.82134
O27	C24II	Amfissa nere	Amfissa nere	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.572	130.6712363	15.7675
O280	PVG18	Conservolea	Conservolea	Others	Others	Black olives	Natural olives	Natural olives	Zapatera/Palmiche	None	150	days ≤ 170	4.15	103.49	3.68509
O281	C18III	Aitana	Aitana	Others	Others	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.891	88.28765872	9.95605
O282	C21III	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.649	66.38347762	8.2892
O283	C21II	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.667	108.3702312	12.65905
O284	C21I	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.679	92.5848655	13.34381
O285	C18I	Aitana	Aitana	Others	Others	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.891	82.70275937	11.284124
O286	C28	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Alkali treated olives	Alkali treated olives	Putrid	None	485	365 < days ≤ 850	NA	NA	NA
O288	C65	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.703	89.60866351	3.869795
O289	C12	Ascolana del Piceno	Ascolana del Piceno DOP	Others	Others	Green olives	Natural olives	Natural olives	None	None	330	240 < days ≤ 365	3.972	87.76472574	6.80255
O28	C72	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.865	82.94877945	4.788815
O293	PVG19	Plum	Plum	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	3.72	79	8.15405
O295	C16II	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	4.256	95.65991706	11.21745
O296	C79	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.087	78.86421776	5.12669
O297	C56	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.003	169.7070952	5.79343
O298	C55	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.881	123.5008652	5.4961
O299	C53	Konservolia	Konservolia	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.016	117.0711811	4.743765
O29	C54	Konservolia	Konservolia	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.117	111.9695673	2.2525
O31	FLC1	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	6.49	46.93534343	0.58
O32	FLC2	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	6.63	45.3106195	0.45
O33	FLC3	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	6.15	53.19857509	1.33
O340	FLC4	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	6.54	28.43806221	0.67
O341	C62	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	60	days ≤ 170	4.72	97.66973289	2.71201
O342	C61	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	60	days ≤ 170	4.658	59.29799375	2.42369
O343	C57	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.895	106.7726447	6.6674
O344	C50	Konservolia	Konservolia	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.1	152.4965435	12.1635
O345	C51	Konservolia	Konservolia	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.057	127.9823263	12.614
O346	C64	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.659	90.14258332	3.83826
O347	C60	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.884	92.03647991	5.09065
O348	C52	Konservolia	Konservolia	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.05	117.0711811	8.5595
O349	C59	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.913	101.8169305	5.779915
O34	C58	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.006	104.5755121	9.99209
O350	FLC5	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	6.4	33.5196905	0.94
O351	C47	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	3.867	157.5614613	6.311505
O352	C46	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	3.781	109.6654942	4.91946
O353	C18	Aitana	Aitana	Others	Others	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.187	76.10268859	21.52489
O354	C13	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Natural olives	Natural olives	None	None	180	170 < days ≤ 240	4.519	109.9917217	4.04549
O355	C48	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	3.79	75.6519279	5.2258
O356	C22	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.365	30.57524882	3.6941
O357	C24	Amfissa nere	Amfissa nere	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.274	113.6449129	3.347215
O358	C17	Termite di Bitetto	Termite di Bitetto	Others	Others	Green olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.226	92.03647991	5.212285
O359	C11	Ascolana del Piceno	Ascolana del Piceno DOP	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	None	30	days ≤ 170	4.559	77.24137568	4.9555
O35	C23	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	6.888	65.79456198	1.03615
O360	FL1	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	120	days ≤ 170	4.45	89.53647655	4.78
O361	C16	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	4.026	59.82875975	6.065532
O362	C20	Itrana	Itrana bianca	Others	Others	Green olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.788	61.81587201	3.02736
O363	C14	Peranzana	Peranzana	Others	Others	Black olives	Natural olives	Natural olives	None	None	30	days ≤ 170	4.285	124.6062999	9.104605
O364	C25	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	Putrid	None	240	170 < days ≤ 240	NA	NA	NA
O365	C26	Picual	Picual	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.269	125.7216291	9.636195
O366	C21	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.203	63.67955209	7.18998
O367	C18II	Aitana	Aitana	Others	Others	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.88	68.99696696	11.435492
O368	M28	Cacereña	Cacereña	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	None	180	170 < days ≤ 240	3.82	55.84	11.7
O36	M29	Hojiblanca	Hojiblanca	Others	Others	Green olives	Olives darkened by oxidation	Others	None	None	180	170 < days ≤ 240	3.93	33.23	15.17
O37	FL2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	120	days ≤ 170	4.42	101.4845663	4.27
O39	FL4	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	120	days ≤ 170	4.51	91.30614353	3.69
O41	FL6	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	None	None	100	days ≤ 170	4.04	98.35580562	3.34
O42	FL7	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	None	None	100	days ≤ 170	4	88.14547044	2.91
O43	FL8	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	None	None	100	days ≤ 170	4.1	104.7128548	3.52
O44	FL9	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	Putrid	None	365	240 < days ≤ 365	6.1	94.21064996	1.01
O45	FL10	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	Putrid	None	365	240 < days ≤ 365	5.46	108.4675923	2.48
O46	LC1	Maiatica di Ferrandina	Oliva infornata di Ferrandina	Others	Others	Black olives	Alkali treated olives	Alkali treated olives	None	None	0	before fermentation	4.76	12.5	NA
O47	LC2	Maiatica di Ferrandina	Oliva infornata di Ferrandina	Others	Others	Black olives	Dehydrated olives	Others	None	None	0	before fermentation	5.02	65.48	NA
O52B	M8	Manzanilla	Manzanilla	Others	Others	Green olives	Natural olives	Natural olives	None	Unknown	180	170 < days ≤ 240	4.03	64.7	6.47718889
O53B	M9	Hojiblanca	Hojiblanca	Others	Others	Green olives	Natural olives	Natural olives	None	Unknown	180	170 < days ≤ 240	3.74	74.78	6.90166
O54B	M11	Hojiblanca	Hojiblanca	Others	Others	Olives turning color	Olives darkened by oxidation	Others	None	None	180	170 < days ≤ 240	3.68	17.64	26.70564
O55B	M15	Manzanilla	Manzanilla	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	LAB	180	170 < days ≤ 240	3.79	90.59	8.9199
O56B	M16	Manzanilla	Manzanilla	Others	Others	Olives turning color	Olives darkened by oxidation	Others	None	None	180	170 < days ≤ 240	3.71	28.33	32.2452
O57B	M17	Hojiblanca	Hojiblanca	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	LAB	180	170 < days ≤ 240	3.84	83.77	11.93825
O58B	PVG06	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	Spots	None	60	days ≤ 170	3.86	79.3	9.19
O59B	PVG07	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	Gas pockets	None	60	days ≤ 170	3.89	73.05	9.04
O60B	PVG12	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	150	days ≤ 170	3.32	108.47	4.505
O66	FLC9	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	180	170 < days ≤ 240	NA	NA	NA
O67	FLC10	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	180	170 < days ≤ 240	NA	NA	NA
O68	FLC11	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	180	170 < days ≤ 240	NA	NA	NA
O73	AF1	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	160	days ≤ 170	5.79	55.94998829	2.01824
O74	AF2	Peranzana	Peranzana	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	150	days ≤ 170	NA	NA	NA
O75	AF3	Leccino	Leccino	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	140	days ≤ 170	4.06	67.55227817	7.6585
O76	AF4	Bella di Cerignola	Bella di Cerignola	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	None	190	170 < days ≤ 240	4.87	68.13339032	2.38765
O77	FLC6	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	180	170 < days ≤ 240	NA	NA	NA
O78	FLC7	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	180	170 < days ≤ 240	NA	NA	NA
O79	FLC8	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	180	170 < days ≤ 240	NA	NA	NA
O81	C125	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.18	13.79	1.07
O82	C126	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.02	10.23	0.56
O83	C127	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.1	9.79	2.03
O84	C128	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.93	9.87	1.06
O85	C129	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.01	36.93	9.65
O86	C130	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.87	36.93	10.15
O87	C131	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.12	32.37	9.28
O88	C132	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.97	32.65	9.18
O89	C133	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.98	37.09	10.34
O90	C124	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.95	13.02	1.04
O91	C134	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.9	31.11	12.11
O92	C136	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.03	37.09	10.13
O93	C137	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.96	41.59	11.11
O96	C140	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.94	41.4	9.16
O97	C141	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.93	113.85	8.79
O98	C142	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.89	41.59	10.67
O99	C143	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	Gas	None	730	365 < days ≤ 850	NA	NA	NA
C169	C169	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	4.26	52.80195468	4.608615
C170	C170	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	3.71	72.07588771	15.77651
C171	C171	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.16	65.79304702	15.18185
C172	C172	Kalamon	Kalamon	Others	Others	Black olives	Olives trated with lactate	Others	None	None	240	170 < days ≤ 240	4.38	86.96409865	21.37172
C173	C173	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.99	87.90225168	32.74234
C174	C174	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.05	82.8647835	10.10021
